setting,setting_type,rep,n,p,s,rho,language,method,model_class,ibs,cindex_td,runtime_sec,status,error_message
setting1_highdim_s50_n1000,highdim,10,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2012314720466066,0.561824994489751,28.861865043640137,success,
setting1_highdim_s50_n1000,highdim,11,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1732135598981464,0.7222632391435667,1.0693156719207764,success,
setting1_highdim_s50_n1000,highdim,11,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2046652158371578,0.6356131283978791,4.259238243103027,success,
setting1_highdim_s50_n1000,highdim,11,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2120150881121239,0.6174911067856903,28.702985048294067,success,
setting1_highdim_s50_n1000,highdim,12,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1754992356552796,0.6750450030002,1.0332903861999512,success,
setting1_highdim_s50_n1000,highdim,12,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2050118489344531,0.5653043536235749,4.231656789779663,success,
setting1_highdim_s50_n1000,highdim,12,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2160357628329728,0.5715047669844656,29.227095127105716,success,
setting1_highdim_s50_n1000,highdim,13,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1925539602779638,0.6322344322344322,0.9649269580841064,success,
setting1_highdim_s50_n1000,highdim,13,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.215555112799014,0.5200799200799201,4.27849817276001,success,
setting1_highdim_s50_n1000,highdim,13,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2439315821663809,0.5177489177489177,28.70003914833069,success,
setting1_highdim_s50_n1000,highdim,14,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1852135580169728,0.6607239330091842,1.1745991706848145,success,
setting1_highdim_s50_n1000,highdim,14,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2130280149708076,0.5901539708265803,4.306115388870239,success,
setting1_highdim_s50_n1000,highdim,14,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2174680617963013,0.5979875742841707,28.79829406738281,success,
setting1_highdim_s50_n1000,highdim,15,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1701294758364108,0.684825179804885,1.5234956741333008,success,
setting1_highdim_s50_n1000,highdim,15,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1988678184284814,0.5602079327778965,4.286914348602295,success,
setting1_highdim_s50_n1000,highdim,15,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2149240563295694,0.5793633838923307,28.659098625183105,success,
setting1_highdim_s50_n1000,highdim,16,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1985182094528651,0.6577060931899642,1.0652413368225098,success,
setting1_highdim_s50_n1000,highdim,16,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2196255246390605,0.5670762928827445,4.326887369155884,success,
setting1_highdim_s50_n1000,highdim,16,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2339948444260413,0.5842293906810035,28.616257667541504,success,
