n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,0.03143594413995743,0.7190927727312096,0.8650185325354787
10000,50,2,0.04001945583149791,0.7190791789345257,0.8650127168839038
10000,50,3,0.02762000635266304,0.719008251699237,0.8649823821338563
10000,50,4,0.012782386038452387,1.0,1.0
10000,50,5,0.011336734984070063,1.0,1.0
10000,50,6,0.010452053975313902,1.0,1.0
10000,50,7,0.03655923483893275,0.7192135981378663,0.8650702483240025
10000,50,8,0.011386111844331026,1.0,1.0
10000,50,9,0.030561202205717564,0.7191235058327501,0.8650316827345123
10000,50,10,0.013492153026163578,1.0,1.0
10000,50,11,0.010360426269471645,1.0,1.0
10000,50,12,0.010398353915661573,1.0,1.0
10000,50,13,0.020796397235244513,0.7824177479965777,0.9054813560903947
10000,50,14,0.04101590812206268,0.7191921264574563,0.8650610547544405
10000,50,15,0.010520645882934332,1.0,1.0
10000,50,16,0.03385485615581274,0.7190424024945682,0.8649969861248333
10000,50,17,0.036687460262328386,0.5332789051341692,0.7315885283830864
10000,50,18,0.010573158971965313,1.0,1.0
10000,50,19,0.012634862679988146,1.0,1.0
10000,50,20,0.011925014667212963,1.0,1.0
10000,50,21,0.020852657966315746,0.719539489287786,0.8652099583333911
10000,50,22,0.013849698007106781,1.0,1.0
10000,50,23,0.027403172105550766,0.7192135981378663,0.8650702483240025
10000,50,24,0.011477126739919186,1.0,1.0
10000,50,25,0.042345625814050436,0.7190707730135834,0.8650091209723044
10000,50,26,0.02364902989938855,0.7198608093288709,0.865348027058772
10000,50,27,0.011514313984662294,1.0,1.0
10000,50,28,0.0366169516928494,0.7191024918511187,0.8650226908801243
10000,50,29,0.026444617193192244,0.7192851013286745,0.8651008740985908
10000,50,30,0.039918843656778336,0.5333882462667758,0.7316549994956075
10000,50,31,0.01408948004245758,1.0,1.0
10000,50,32,0.032442525029182434,0.40474298471635556,0.6838520705052328
10000,50,33,0.012307317927479744,1.0,1.0
10000,50,34,0.015503755770623684,1.0,1.0
10000,50,35,0.047095630783587694,0.7190076606172333,0.8649821293991029
10000,50,36,0.011450964957475662,1.0,1.0
10000,50,37,0.013940514996647835,1.0,1.0
10000,50,38,0.01226961100474,1.0,1.0
10000,50,39,0.03781495615839958,0.7190129803423475,0.8649844040444972
10000,50,40,0.038478098809719086,0.7194932776815663,0.8651901276099897
10000,50,41,0.010295221582055092,0.7824177479965777,0.9054813560903949
10000,50,42,0.05908592091873288,0.7190366232134116,0.8649945144675416
10000,50,43,0.013495255261659622,1.0,1.0
10000,50,44,0.010499707888811827,1.0,1.0
10000,50,45,0.041125111281871796,0.719377016907222,0.8651402656628572
10000,50,46,0.011342092417180538,1.0,1.0
10000,50,47,0.020670936908572912,0.7190077262930292,0.8649821574806975
10000,50,48,0.033453021198511124,0.7190313692916812,0.8649922675815622
10000,50,49,0.052080157212913036,0.7190224375596704,0.8649884480397323
10000,50,50,0.05708573991432786,0.40465498812216066,0.6837986892004275
10000,50,51,0.01151609793305397,1.0,1.0
10000,50,52,0.07308627804741263,0.719008251699237,0.8649823821338563
10000,50,53,0.010431735310703516,1.0,1.0
10000,50,54,0.010297948960214853,1.0,1.0
10000,50,55,0.033157519064843655,0.7190077262930292,0.8649821574806975
10000,50,56,0.011354818008840084,1.0,1.0
10000,50,57,0.027711480855941772,0.7190339305820665,0.8649933629295313
10000,50,58,0.03776501631364226,0.40470056297074386,0.6838261176583257
10000,50,59,0.03659013798460364,0.719014228174894,0.8649849376139189
10000,50,60,0.04747592005878687,0.40474019705049974,0.6838500662017433
10000,50,61,0.04221325321123004,0.7194709587906092,0.865180552274693
10000,50,62,0.010212648194283247,1.0,1.0
10000,50,63,0.01132529927417636,1.0,1.0
10000,50,64,0.012992912903428078,1.0,1.0
10000,50,65,0.03439426887780428,0.7191024918511187,0.8650226908801242
10000,50,66,0.010384825989603996,1.0,1.0
10000,50,67,0.036106748040765524,0.7191466206886659,0.8650415750998599
10000,50,68,0.01189740700647235,1.0,1.0
10000,50,69,0.0461903209798038,0.7191180553748309,0.8650293503620692
10000,50,70,0.060980492271482944,0.4048573942899293,0.6839202070437487
10000,50,71,0.030118452850729227,0.7190339305820665,0.8649933629295313
10000,50,72,0.012408416252583265,1.0,1.0
10000,50,73,0.06043947068974376,0.7190129803423475,0.8649844040444973
10000,50,74,0.05794714577496052,0.5332515040773123,0.7315724957648048
10000,50,75,0.010490057989954948,1.0,1.0
10000,50,76,0.012121446896344423,1.0,1.0
10000,50,77,0.012327404227107763,1.0,1.0
10000,50,78,0.01561393029987812,0.7824177479965777,0.9054813560903947
10000,50,79,0.02785203931853175,0.40465516994036554,0.683798847558001
10000,50,80,0.03432456683367491,0.7190156073563743,0.8649855273532409
10000,50,81,0.033684824127703905,0.7194278950135337,0.8651620811940263
10000,50,82,0.02152424491941929,1.0,1.0
10000,50,83,0.041215705685317516,0.7190118638592398,0.8649839266437006
10000,50,84,0.04605449503287673,0.7171927932424345,0.8599278177709636
10000,50,85,0.013557013589888811,1.0,1.0
10000,50,86,0.011510996147990227,1.0,1.0
10000,50,87,0.010468372143805027,1.0,1.0
10000,50,88,0.043338587041944265,0.7190093025108019,0.8649828314423214
10000,50,89,0.010306284762918949,1.0,1.0
10000,50,90,0.013439948204904795,1.0,1.0
10000,50,91,0.035364307928830385,0.4046932905116931,0.6838223096454704
10000,50,92,0.012177773285657167,1.0,1.0
10000,50,93,0.03445002483204007,0.7190100249430947,0.8649831403435522
10000,50,94,0.03645678935572505,0.7190366232134116,0.8649945144675414
10000,50,95,0.022594885900616646,0.7191589658982435,0.865046859091342
10000,50,96,0.018792780116200447,1.0,1.0
10000,50,97,0.03254607040435076,0.719563381928293,0.8652202139133799
10000,50,98,0.024446841794997454,0.7190667670413488,0.8650074073602274
10000,50,99,0.010507897939532995,1.0,1.0
10000,50,100,0.029059691354632378,0.7190087114294361,0.8649825787059576
1000,50,1,0.0022323760204017162,0.7758931126757267,0.8986035709454092
1000,50,2,0.0018597906455397606,0.7782734978278049,0.90097523932431
1000,50,3,0.002008753828704357,1.0,1.0
1000,50,4,0.0034071924164891243,0.4259384684005728,0.700617367864449
