n_samples,n_features,Replicate,GPU_Runtime_sec,GPU_ARI,GPU_NMI
10000,50,1,0.07272355677559972,0.7825122916486835,0.9055071432581109
10000,50,2,0.07745697302743793,0.7825122916486835,0.9055071432581109
10000,50,3,0.07851532334461808,2.401681056595522e-07,0.0007983720504408755
10000,50,4,0.07510452577844262,0.21048076850878175,0.4740721728518239
10000,50,5,0.07953070709481835,1.0,1.0
10000,50,6,0.08012190600857139,0.48267070259004474,0.7420927537097397
10000,50,7,0.07900832686573267,0.48267070259004474,0.7420927537097397
10000,50,8,0.0759338429197669,0.37487712545132856,0.5892652270960129
10000,50,9,0.07493756106123328,0.21048076850878175,0.4740721728518239
10000,50,10,0.07594561204314232,0.615201240360506,0.7914276374555911
10000,50,11,0.07738242531195283,0.4824328666733902,0.7419848161405025
10000,50,12,0.07688560895621777,0.4824328666733902,0.7419848161405025
10000,50,13,0.07807334372773767,0.21048076850878175,0.4740721728518239
10000,50,14,0.07567307585850358,0.7824177479965777,0.9054813560903947
10000,50,15,0.07681587105616927,2.401681056595522e-07,0.0007983720504408755
10000,50,16,0.08938723523169756,0.6150532908814105,0.7913647720203502
10000,50,17,0.07474404899403453,0.7825122916486835,0.9055071432581109
10000,50,18,0.07586062233895063,0.7824177479965777,0.9054813560903947
10000,50,19,0.0818715849891305,0.7825122916486835,0.9055071432581109
10000,50,20,0.07238482730463147,0.48267070259004474,0.7420927537097397
10000,50,21,0.07595335831865668,0.21016916202819316,0.47377162983037235
10000,50,22,0.07764103729277849,0.7824177479965777,0.9054813560903947
10000,50,23,0.07845439109951258,0.7824177479965777,0.9054813560903947
10000,50,24,0.07899961620569229,0.7824177479965777,0.9054813560903947
10000,50,25,0.07572511583566666,0.21016916202819316,0.47377162983037235
10000,50,26,0.07738418597728014,0.21048076850878175,0.4740721728518239
10000,50,27,0.07340343063697219,0.48267070259004474,0.7420927537097397
10000,50,28,0.07984155183658004,0.7824177479965777,0.9054813560903947
10000,50,29,0.07804026873782277,0.7824177479965777,0.9054813560903947
10000,50,30,0.07557278918102384,0.48267070259004474,0.7420927537097397
10000,50,31,0.07666995609179139,0.21016916202819316,0.47377162983037235
10000,50,32,0.07814845908433199,0.48267070259004474,0.7420927537097397
10000,50,33,0.07898450968787074,0.48267070259004474,0.7420927537097397
10000,50,34,0.07735834177583456,0.7825122916486835,0.9055071432581109
10000,50,35,0.07724483497440815,1.0,1.0
10000,50,36,0.07780167693272233,0.21048076850878175,0.4740721728518239
10000,50,37,0.0785763319581747,0.4824328666733902,0.7419848161405025
10000,50,38,0.07486818311735988,0.48267070259004474,0.7420927537097397
10000,50,39,0.07698981277644634,0.4824328666733902,0.7419848161405025
10000,50,40,0.07536439783871174,0.21048076850878175,0.4740721728518239
10000,50,41,0.07977927196770906,0.48267070259004474,0.7420927537097397
10000,50,42,0.07617553789168596,2.401681056595522e-07,0.0007983720504408755
10000,50,43,0.07748862588778138,0.7825122916486835,0.9055071432581109
10000,50,44,0.07720318203791976,0.615201240360506,0.7914276374555911
10000,50,45,0.07681573694571853,0.21048076850878175,0.4740721728518239
10000,50,46,0.07557896291837096,0.7824177479965777,0.9054813560903947
10000,50,47,0.07561667496338487,0.48267070259004474,0.7420927537097397
10000,50,48,0.07719728210940957,0.37487712545132856,0.5892652270960129
10000,50,49,0.07891716109588742,0.4824328666733902,0.7419848161405025
10000,50,50,0.08093636622652411,0.21048076850878175,0.4740721728518239
10000,50,51,0.07490655314177275,1.0,1.0
10000,50,52,0.07992745889350772,0.7824177479965777,0.9054813560903947
10000,50,53,0.07753751194104552,0.7824177479965777,0.9054813560903947
10000,50,54,0.07843730319291353,2.401681056595522e-07,0.0007983720504408755
10000,50,55,0.07665890688076615,2.401681056595522e-07,0.0007983720504408755
10000,50,56,0.07453694613650441,0.21048076850878175,0.4740721728518239
10000,50,57,0.07726627169176936,0.7825122916486835,0.9055071432581109
10000,50,58,0.07812960492447019,0.21048076850878175,0.4740721728518239
10000,50,59,0.07652044203132391,1.0,1.0
10000,50,60,0.07875008461996913,0.37473061862636703,0.5891901127899007
10000,50,61,0.0785155650228262,0.615201240360506,0.7914276374555911
10000,50,62,0.07957962201908231,0.48267070259004474,0.7420927537097397
10000,50,63,0.07768434705212712,0.48267070259004474,0.7420927537097397
10000,50,64,0.07598211709409952,0.615201240360506,0.7914276374555911
10000,50,65,0.07711624493822455,0.37487712545132856,0.5892652270960129
10000,50,66,0.07552894996479154,2.401681056595522e-07,0.0007983720504408755
10000,50,67,0.07779438234865665,0.21048076850878175,0.4740721728518239
10000,50,68,0.07899804413318634,0.7824177479965777,0.9054813560903947
10000,50,69,0.07508416473865509,0.4824328666733902,0.7419848161405025
10000,50,70,0.07627182314172387,0.21016916202819316,0.47377162983037235
