n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,0.040583326015621424,1.0,1.0
10000,50,2,0.037468759808689356,1.0,1.0
10000,50,3,0.04195571690797806,1.0,1.0
10000,50,4,0.037220579106360674,1.0,1.0
10000,50,5,0.0325409728102386,1.0,1.0
10000,50,6,0.04230263223871589,1.0,1.0
10000,50,7,0.042841941118240356,1.0,1.0
10000,50,8,0.03712604567408562,1.0,1.0
10000,50,9,0.041011644061654806,1.0,1.0
10000,50,10,0.04044258873909712,0.7511119870195219,0.8806961062055926
10000,50,11,0.049138749949634075,1.0,1.0
10000,50,12,0.04085488012060523,1.0,1.0
10000,50,13,0.03536822320893407,0.7767643976955476,0.8988269498142796
10000,50,14,0.03988964995369315,1.0,1.0
10000,50,15,0.03575663501396775,1.0,1.0
10000,50,16,0.04203062877058983,1.0,1.0
10000,50,17,0.03658490302041173,1.0,1.0
10000,50,18,0.030177123844623566,0.78143866814318,0.9039756245255004
10000,50,19,0.0391405769623816,1.0,1.0
10000,50,20,0.04386290116235614,1.0,1.0
10000,50,21,0.03610537713393569,0.7476243117209909,0.8787469571282966
10000,50,22,0.054258004296571016,1.0,1.0
10000,50,23,0.05301363114267588,0.7389580932707527,0.874204152315464
10000,50,24,0.03185445303097367,1.0,1.0
10000,50,25,0.039719101041555405,1.0,1.0
10000,50,26,0.04347890801727772,1.0,1.0
10000,50,27,0.043136791326105595,0.7818050197095,0.9044901686298982
10000,50,28,0.03293748991563916,1.0,1.0
10000,50,29,0.04051143070682883,1.0,1.0
10000,50,30,0.042502845171839,1.0,1.0
10000,50,31,0.04102788167074323,0.7808302284216845,0.9031848984000465
10000,50,32,0.034634428564459085,1.0,1.0
10000,50,33,0.045036847703158855,1.0,1.0
10000,50,34,0.03709221724420786,1.0,1.0
10000,50,35,0.03919617924839258,1.0,1.0
10000,50,36,0.03778604185208678,1.0,1.0
10000,50,37,0.04134878935292363,1.0,1.0
10000,50,38,0.04037084197625518,1.0,1.0
10000,50,39,0.04684040602296591,0.7821723355993232,0.9050536947492732
10000,50,40,0.03694554325193167,1.0,1.0
10000,50,41,0.03864075383171439,0.7497817399137603,0.8799435291558328
10000,50,42,0.04720261227339506,0.7824177479965777,0.905481356090395
10000,50,43,0.03143706079572439,0.7824177479965777,0.9054813560903947
10000,50,44,0.03619923489168286,1.0,1.0
10000,50,45,0.04067793395370245,0.7689022593658498,0.8922292728166012
10000,50,46,0.04789185710251331,1.0,1.0
10000,50,47,0.04253740981221199,1.0,1.0
10000,50,48,0.041402168571949005,0.7821723355993232,0.9050536947492732
10000,50,49,0.036154558416455984,1.0,1.0
10000,50,50,0.04730710620060563,0.7824177479965777,0.9054813560903947
10000,50,51,0.04170553805306554,1.0,1.0
10000,50,52,0.04578171577304602,0.7588528432526322,0.8853323721191327
10000,50,53,0.03793171001598239,1.0,1.0
10000,50,54,0.04946856899186969,1.0,1.0
10000,50,55,0.03730469010770321,1.0,1.0
10000,50,56,0.030531886033713818,1.0,1.0
10000,50,57,0.037054263055324554,1.0,1.0
10000,50,58,0.04228677833452821,1.0,1.0
10000,50,59,0.03903688210994005,1.0,1.0
10000,50,60,0.04674394289031625,1.0,1.0
10000,50,61,0.037875535897910595,1.0,1.0
10000,50,62,0.039376866072416306,1.0,1.0
10000,50,63,0.043059240095317364,0.7203310473845876,0.8655506584422669
10000,50,64,0.03797869477421045,1.0,1.0
10000,50,65,0.038569201715290546,0.7805876047526399,0.902885805435781
10000,50,66,0.04191777156665921,1.0,1.0
10000,50,67,0.0457161720842123,1.0,1.0
10000,50,68,0.03900532703846693,1.0,1.0
10000,50,69,0.04241317883133888,0.7822949883141439,0.9052594201943566
10000,50,70,0.03590007685124874,0.7792608770421023,0.9013626848146437
10000,50,71,0.03897361597046256,1.0,1.0
10000,50,72,0.03841098304837942,1.0,1.0
10000,50,73,0.030107369646430016,0.7777097913175192,0.899748679209996
10000,50,74,0.03666275879368186,1.0,1.0
10000,50,75,0.03871990833431482,1.0,1.0
10000,50,76,0.03612625878304243,1.0,1.0
10000,50,77,0.03662610985338688,1.0,1.0
10000,50,78,0.04249789100140333,1.0,1.0
10000,50,79,0.03678344702348113,0.7825406146016833,0.9057460992755194
10000,50,80,0.03795990161597729,0.7465320619163405,0.878151918033333
10000,50,81,0.04671568097546697,1.0,1.0
10000,50,82,0.037253766786307096,1.0,1.0
10000,50,83,0.03562861029058695,1.0,1.0
10000,50,84,0.03834414901211858,1.0,1.0
10000,50,85,0.03136137733235955,1.0,1.0
10000,50,86,0.04129241034388542,0.7192766315279446,0.8650972455563672
10000,50,87,0.04242596682161093,1.0,1.0
10000,50,88,0.038590569980442524,1.0,1.0
10000,50,89,0.05095955729484558,1.0,1.0
10000,50,90,0.04309037979692221,1.0,1.0
10000,50,91,0.03656314592808485,1.0,1.0
10000,50,92,0.034360849764198065,0.7819273512521355,0.9046712066251233
10000,50,93,0.02919427677989006,0.78143866814318,0.9039756245255005
10000,50,94,0.038423210848122835,1.0,1.0
10000,50,95,0.03297132486477494,0.7411520550681184,0.8753175780068194
10000,50,96,0.03798315906897187,1.0,1.0
10000,50,97,0.042363420594483614,0.7813167654574675,0.9038117108824203
10000,50,98,0.037623203825205564,1.0,1.0
10000,50,99,0.031762066297233105,1.0,1.0
