n_samples,n_features,Replicate,GPU_Runtime_sec,GPU_ARI,GPU_NMI
10000,50,1,0.0713949203491211,0.7825122916486835,0.9055071432581109
10000,50,2,0.07631182670593262,0.7825122916486835,0.9055071432581109
10000,50,3,0.07712864875793457,2.401681056595522e-07,0.0007983720504408755
10000,50,4,0.07852792739868164,0.21048076850878175,0.4740721728518239
10000,50,5,0.07752037048339844,1.0,1.0
10000,50,6,0.0782313346862793,0.48267070259004474,0.7420927537097397
10000,50,7,0.0775301456451416,0.48267070259004474,0.7420927537097397
10000,50,8,0.07856225967407227,0.37487712545132856,0.5892652270960129
10000,50,9,0.07504940032958984,0.21048076850878175,0.4740721728518239
10000,50,10,0.0784902572631836,0.615201240360506,0.7914276374555911
10000,50,11,0.07750535011291504,0.4824328666733902,0.7419848161405025
10000,50,12,0.07855391502380371,0.4824328666733902,0.7419848161405025
10000,50,13,0.0774393081665039,0.21048076850878175,0.4740721728518239
10000,50,14,0.07834482192993164,0.7824177479965777,0.9054813560903947
10000,50,15,0.07507824897766113,2.401681056595522e-07,0.0007983720504408755
10000,50,16,0.07853412628173828,0.6150532908814105,0.7913647720203502
10000,50,17,0.07753419876098633,0.7825122916486835,0.9055071432581109
10000,50,18,0.07864832878112793,0.7824177479965777,0.9054813560903947
10000,50,19,0.07740569114685059,0.7825122916486835,0.9055071432581109
10000,50,20,0.07613778114318848,0.48267070259004474,0.7420927537097397
10000,50,21,0.07784032821655273,0.21016916202819316,0.47377162983037235
10000,50,22,0.07819652557373047,0.7824177479965777,0.9054813560903947
10000,50,23,0.07754921913146973,0.7824177479965777,0.9054813560903947
10000,50,24,0.07861065864562988,0.7824177479965777,0.9054813560903947
10000,50,25,0.07720160484313965,0.21016916202819316,0.47377162983037235
10000,50,26,0.07860159873962402,0.21048076850878175,0.4740721728518239
10000,50,27,0.0750422477722168,0.48267070259004474,0.7420927537097397
10000,50,28,0.07856059074401855,0.7824177479965777,0.9054813560903947
10000,50,29,0.07767796516418457,0.7824177479965777,0.9054813560903947
10000,50,30,0.07821846008300781,0.48267070259004474,0.7420927537097397
10000,50,31,0.0774984359741211,0.21016916202819316,0.47377162983037235
10000,50,32,0.07812833786010742,0.48267070259004474,0.7420927537097397
10000,50,33,0.07729983329772949,0.48267070259004474,0.7420927537097397
10000,50,34,0.08099794387817383,0.7825122916486835,0.9055071432581109
10000,50,35,0.07741212844848633,1.0,1.0
10000,50,36,0.07859277725219727,0.21048076850878175,0.4740721728518239
10000,50,37,0.0772554874420166,0.4824328666733902,0.7419848161405025
10000,50,38,0.07848644256591797,0.48267070259004474,0.7420927537097397
10000,50,39,0.07760286331176758,0.4824328666733902,0.7419848161405025
10000,50,40,0.07819294929504395,0.21048076850878175,0.4740721728518239
10000,50,41,0.07767677307128906,0.48267070259004474,0.7420927537097397
10000,50,42,0.07856583595275879,2.401681056595522e-07,0.0007983720504408755
10000,50,43,0.07755637168884277,0.7825122916486835,0.9055071432581109
10000,50,44,0.0785224437713623,0.615201240360506,0.7914276374555911
10000,50,45,0.07762646675109863,0.21048076850878175,0.4740721728518239
10000,50,46,0.07814645767211914,0.7824177479965777,0.9054813560903947
10000,50,47,0.07737326622009277,0.48267070259004474,0.7420927537097397
10000,50,48,0.07851219177246094,0.37487712545132856,0.5892652270960129
10000,50,49,0.07764267921447754,0.4824328666733902,0.7419848161405025
10000,50,50,0.07862615585327148,0.21048076850878175,0.4740721728518239
10000,50,51,0.07763195037841797,1.0,1.0
10000,50,52,0.07855224609375,0.7824177479965777,0.9054813560903947
10000,50,53,0.07734012603759766,0.7824177479965777,0.9054813560903947
10000,50,54,0.07845139503479004,2.401681056595522e-07,0.0007983720504408755
10000,50,55,0.07737016677856445,2.401681056595522e-07,0.0007983720504408755
10000,50,56,0.0781562328338623,0.21048076850878175,0.4740721728518239
10000,50,57,0.07722711563110352,0.7825122916486835,0.9055071432581109
10000,50,58,0.0783541202545166,0.21048076850878175,0.4740721728518239
10000,50,59,0.0771937370300293,1.0,1.0
10000,50,60,0.08102583885192871,0.37473061862636703,0.5891901127899007
10000,50,61,0.07749247550964355,0.615201240360506,0.7914276374555911
10000,50,62,0.07847094535827637,0.48267070259004474,0.7420927537097397
10000,50,63,0.07714533805847168,0.48267070259004474,0.7420927537097397
10000,50,64,0.07860374450683594,0.615201240360506,0.7914276374555911
10000,50,65,0.07765841484069824,0.37487712545132856,0.5892652270960129
10000,50,66,0.07947707176208496,2.401681056595522e-07,0.0007983720504408755
10000,50,67,0.0763404369354248,0.21048076850878175,0.4740721728518239
10000,50,68,0.0785365104675293,0.7824177479965777,0.9054813560903947
10000,50,69,0.07765579223632812,0.4824328666733902,0.7419848161405025
10000,50,70,0.07852864265441895,0.21016916202819316,0.47377162983037235
10000,50,71,0.0794529914855957,2.401681056595522e-07,0.0007983720504408755
10000,50,72,0.07845664024353027,0.48267070259004474,0.7420927537097397
10000,50,73,0.07772111892700195,0.6150532908814105,0.7913647720203502
10000,50,74,0.08074784278869629,0.7825122916486835,0.9055071432581109
10000,50,75,0.07758426666259766,0.4824328666733902,0.7419848161405025
10000,50,76,0.07843828201293945,0.21048076850878175,0.4740721728518239
10000,50,77,0.07744026184082031,0.7825122916486835,0.9055071432581109
10000,50,78,0.07848191261291504,0.6150532908814105,0.7913647720203502
10000,50,79,0.07754135131835938,0.21048076850878175,0.4740721728518239
10000,50,80,0.07864856719970703,0.21048076850878175,0.4740721728518239
10000,50,81,0.07748770713806152,0.48267070259004474,0.7420927537097397
10000,50,82,0.07857251167297363,0.48267070259004474,0.7420927537097397
10000,50,83,0.07726168632507324,0.7824177479965777,0.9054813560903947
10000,50,84,0.07844901084899902,0.615201240360506,0.7914276374555911
10000,50,85,0.0762791633605957,0.7824177479965777,0.9054813560903947
10000,50,86,0.07873344421386719,0.21048076850878175,0.4740721728518239
10000,50,87,0.07566523551940918,0.21048076850878175,0.4740721728518239
10000,50,88,0.07853198051452637,0.21016916202819316,0.47377162983037235
10000,50,89,0.07741737365722656,0.7825122916486835,0.9055071432581109
10000,50,90,0.07603907585144043,0.7825122916486835,0.9055071432581109
10000,50,91,0.07756280899047852,2.401681056595522e-07,0.0007983720504408755
10000,50,92,0.0782322883605957,0.48267070259004474,0.7420927537097397
10000,50,93,0.07743549346923828,1.0,1.0
10000,50,94,0.0785677433013916,1.0,1.0
10000,50,95,0.07751131057739258,0.21016916202819316,0.47377162983037235
10000,50,96,0.07856082916259766,0.7825122916486835,0.9055071432581109
10000,50,97,0.07760953903198242,0.48267070259004474,0.7420927537097397
10000,50,98,0.07851481437683105,0.21048076850878175,0.4740721728518239
10000,50,99,0.07996392250061035,0.21048076850878175,0.4740721728518239
10000,50,100,0.07892513275146484,0.7825122916486835,0.9055071432581109
1000,50,1,0.014823198318481445,1.0,1.0
1000,50,2,0.007875442504882812,1.0,1.0
1000,50,3,0.005822896957397461,0.4795054840479742,0.7388503415750174
1000,50,4,0.005742073059082031,0.7816450431111821,0.904069864461397
1000,50,5,0.0058362483978271484,1.0,1.0
1000,50,6,0.005767822265625,0.7806972856071891,0.9038117108824201
1000,50,7,0.0058176517486572266,0.7806972856071891,0.9038117108824201
1000,50,8,0.005800724029541016,0.4818859905583161,0.7399299591195492
1000,50,9,0.00578761100769043,0.4795054840479742,0.7388503415750174
1000,50,10,0.0059816837310791016,1.0,1.0
1000,50,11,0.005957126617431641,0.6135560183912647,0.7887819056581818
1000,50,12,0.0059130191802978516,0.7806972856071891,0.9038117108824201
1000,50,13,0.0059964656829833984,0.7816450431111821,0.904069864461397
1000,50,14,0.005979061126708984,1.0,1.0
1000,50,15,0.0058672428131103516,0.4795054840479742,0.7388503415750174
1000,50,16,0.006591320037841797,0.7806972856071891,0.9038117108824201
1000,50,17,0.006041049957275391,0.7816450431111821,0.904069864461397
1000,50,18,0.00594019889831543,0.7806972856071891,0.9038117108824201
1000,50,19,0.0057315826416015625,0.7806972856071891,0.9038117108824201
1000,50,20,0.005715608596801758,1.0,1.0
1000,50,21,0.005743503570556641,0.7806972856071891,0.9038117108824201
1000,50,22,0.005840301513671875,0.7806972856071891,0.9038117108824201
1000,50,23,0.005820512771606445,1.0,1.0
1000,50,24,0.005842447280883789,0.7806972856071891,0.9038117108824201
1000,50,25,0.005848884582519531,0.4795054840479742,0.7388503415750174
1000,50,26,0.005812168121337891,0.4818859905583161,0.7399299591195492
1000,50,27,0.005774021148681641,0.7806972856071891,0.9038117108824201
1000,50,28,0.005898952484130859,0.7806972856071891,0.9038117108824201
1000,50,29,0.005811214447021484,0.7806972856071891,0.9038117108824201
1000,50,30,0.00595402717590332,0.7806972856071891,0.9038117108824201
1000,50,31,0.005809783935546875,0.4795054840479742,0.7388503415750174
1000,50,32,0.005770206451416016,0.4818859905583161,0.7399299591195492
1000,50,33,0.0057637691497802734,0.7806972856071891,0.9038117108824201
1000,50,34,0.005838632583618164,1.0,1.0
1000,50,35,0.005941152572631836,1.0,1.0
1000,50,36,0.005801200866699219,0.7816450431111821,0.904069864461397
1000,50,37,0.005761623382568359,0.7806972856071891,0.9038117108824201
1000,50,38,0.005726814270019531,0.7806972856071891,0.9038117108824201
1000,50,39,0.005784749984741211,0.7806972856071891,0.9038117108824201
1000,50,40,0.0058362483978271484,0.7816450431111821,0.904069864461397
1000,50,41,0.005797863006591797,0.7816450431111821,0.904069864461397
1000,50,42,0.005789995193481445,0.7806972856071891,0.9038117108824201
1000,50,43,0.00578618049621582,0.7816450431111821,0.904069864461397
1000,50,44,0.005757331848144531,0.7806972856071891,0.9038117108824201
1000,50,45,0.00581812858581543,0.4818859905583161,0.7399299591195492
1000,50,46,0.005817890167236328,0.7806972856071891,0.9038117108824201
1000,50,47,0.005804300308227539,1.0,1.0
1000,50,48,0.005754947662353516,0.7806972856071891,0.9038117108824201
1000,50,49,0.005818605422973633,0.7806972856071891,0.9038117108824201
1000,50,50,0.00577545166015625,0.4818859905583161,0.7399299591195492
1000,50,51,0.006076335906982422,0.7816450431111821,0.904069864461397
1000,50,52,0.005925178527832031,0.7806972856071891,0.9038117108824201
1000,50,53,0.005976200103759766,0.7806972856071891,0.9038117108824201
1000,50,54,0.005778789520263672,0.4795054840479742,0.7388503415750174
1000,50,55,0.00589442253112793,0.7806972856071891,0.9038117108824201
1000,50,56,0.005782365798950195,0.7816450431111821,0.904069864461397
1000,50,57,0.005826711654663086,0.7806972856071891,0.9038117108824201
1000,50,58,0.005795478820800781,0.4795054840479742,0.7388503415750174
1000,50,59,0.00597691535949707,1.0,1.0
1000,50,60,0.005954265594482422,0.3723197620116737,0.586175846976721
1000,50,61,0.005823373794555664,0.7806972856071891,0.9038117108824201
1000,50,62,0.005884647369384766,0.7816450431111821,0.904069864461397
1000,50,63,0.0057718753814697266,0.7816450431111821,0.904069864461397
1000,50,64,0.0059108734130859375,1.0,1.0
1000,50,65,0.006024599075317383,0.6120746776430992,0.788152385229715
1000,50,66,0.005793094635009766,0.4795054840479742,0.7388503415750174
1000,50,67,0.006395578384399414,0.2100852537655098,0.47314079350705807
1000,50,68,0.00621485710144043,0.7806972856071891,0.9038117108824201
1000,50,69,0.005921602249145508,0.7806972856071891,0.9038117108824201
