n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,0.8214195067994297,0.9514844787611217,0.9661129070500152
10000,50,2,0.766855607740581,0.9516161122511277,0.9661761608958384
10000,50,3,0.7210844019427896,0.7384621210791822,0.8739556098279178
10000,50,4,0.6965500540100038,0.9497574020294138,0.9652895311203121
10000,50,5,0.6827882989309728,0.9550718610896884,0.9678630759567987
10000,50,6,0.7364767212420702,0.9528920016442726,0.9667930108982755
10000,50,7,0.6938848649151623,0.9509630433918099,0.9658630415148615
10000,50,8,0.6916604260914028,0.9496952274183953,0.9652601128618925
10000,50,9,0.707491503097117,0.7358099724351336,0.8726454573692248
10000,50,10,0.6923157069832087,0.9509630433918099,0.9658630415148615
10000,50,11,0.6934428191743791,0.9517482551228371,0.9662397315857945
10000,50,12,0.7085391180589795,0.9540019376410225,0.9673352647899842
10000,50,13,0.6960928831249475,0.9510277763745885,0.9658940002998847
10000,50,14,0.6851709391921759,0.9522147630788881,0.9664647378674986
10000,50,15,0.7156412680633366,0.7322167922277774,0.8709185139199895
10000,50,16,0.7007918180897832,0.9495094730182367,0.9651723131716774
10000,50,17,0.7829375918954611,0.950898438051462,0.9658321607918801
10000,50,18,0.6888499702326953,0.9538614252967476,0.9672663229421731
10000,50,19,0.7022521430626512,0.9532353765843874,0.9669601974950153
10000,50,20,0.6996366949751973,0.9529604232241646,0.9668262846091006
10000,50,21,0.7023094687610865,0.9507696104155974,0.9657706330844914
10000,50,22,0.6986045949161053,0.9542844772344278,0.9674741537716932
10000,50,23,0.6952511509880424,0.9516161122511277,0.9661761608958384
10000,50,24,0.6857404527254403,0.9524166017692474,0.9665623710731819
10000,50,25,0.6912164161913097,0.7334690413989003,0.8715143331152825
10000,50,26,0.7100079311057925,0.7830449678181193,0.8863798567419234
10000,50,27,0.6958473646081984,0.9498197048320404,0.9653190253971445
10000,50,28,0.694267581216991,0.952619583296137,0.9666607302353094
10000,50,29,0.6813314072787762,0.9511576251495687,0.9659561525066881
10000,50,30,0.7017883029766381,0.9505773270132145,0.9656789242048645
10000,50,31,0.6922720819711685,0.7314128304985185,0.870539278042047
10000,50,32,0.6833452130667865,0.9505773270132145,0.9656789242048645
10000,50,33,0.6934835691936314,0.950513488142903,0.9656485095195764
10000,50,34,0.6862050886265934,0.9509630433918099,0.9658630415148615
10000,50,35,0.6965631530620158,0.9528920016442726,0.9667930108982755
10000,50,36,0.7306754291057587,0.9522819156095128,0.9664972018142273
10000,50,37,0.7016848409548402,0.9520140680496643,0.9663678272858832
10000,50,38,0.6948847258463502,0.9514188531090846,0.9660813986507957
10000,50,39,0.7213961300440133,0.7303072973032586,0.8700218890334936
10000,50,40,0.7075940449722111,0.9501962120768579,0.9654975932588126
10000,50,41,0.6761169177480042,0.950099866164512,0.9650504884180254
10000,50,42,0.7029604632407427,0.9507696104155974,0.9657706330844914
10000,50,43,0.6791087002493441,0.9503227387303901,0.9655577287615335
10000,50,44,0.7029888383112848,0.9526874976256192,0.9666936785290683
10000,50,45,0.6932259425520897,0.784255786510164,0.8863312981584563
10000,50,46,0.7026689033955336,0.9542136530527722,0.967439305516918
10000,50,47,0.6953105870634317,0.9503227387303901,0.9655577287615335
10000,50,48,0.6923810387961566,0.9485980372381132,0.9647434683946314
10000,50,49,0.7017986900173128,0.9503861939725037,0.9655879119061654
10000,50,50,0.6857783989980817,0.9489591412964242,0.9649129862443176
10000,50,51,0.6911297808401287,0.9541429550386699,0.9674045413617794
10000,50,52,0.6920118951238692,0.950513488142903,0.9656485095195764
10000,50,53,0.7014298872090876,0.9533736130524618,0.9670276465894896
10000,50,54,0.7241139682009816,0.9516161122511277,0.9661761608958384
