n_samples,n_features,Replicate,GPU_Runtime_sec,GPU_ARI,GPU_NMI
10000,50,1,0.022298574447631836,0.9948422768178328,0.9937080737933782
10000,50,2,0.021520614624023438,0.9883779419822623,0.9880851383888982
10000,50,3,0.021603107452392578,0.9980128389086385,0.9971132829081272
10000,50,4,0.021978378295898438,0.981387011869071,0.9829739911150976
10000,50,5,0.02170276641845703,1.0,1.0
10000,50,6,0.022339820861816406,0.998383349368594,0.9975695105530458
10000,50,7,0.021607637405395508,0.9969070969845522,0.9958421826965921
10000,50,8,0.022186756134033203,0.963029256675725,0.971571350777055
10000,50,9,0.022198915481567383,0.9964184507731909,0.9953134875823312
10000,50,10,0.022701025009155273,0.9938814253204818,0.9927885517947936
10000,50,11,0.021889448165893555,0.9930463936200602,0.9920186282899816
10000,50,12,0.02245807647705078,1.0,1.0
10000,50,13,0.02177715301513672,0.9889518352473815,0.9885409202947938
10000,50,14,0.02195906639099121,1.0,1.0
10000,50,15,0.022875547409057617,0.9938814253204818,0.9927885517947935
10000,50,16,0.022498607635498047,0.9993760794593048,0.9989153617549822
10000,50,17,0.022243261337280273,0.976772490918512,0.9799404133307731
10000,50,18,0.022037744522094727,0.9996253284192765,0.9993013431519604
10000,50,19,0.021982908248901367,0.9465841400569045,0.9638071806483874
10000,50,20,0.024907350540161133,0.9812796670304578,0.9829007842883728
10000,50,21,0.0219881534576416,0.998383349368594,0.9975695105530458
10000,50,22,0.021737098693847656,1.0,1.0
10000,50,23,0.021825551986694336,0.9998750031236718,0.9997328770833568
10000,50,24,0.022104740142822266,0.9998750031236718,0.9997328770833568
10000,50,25,0.021764755249023438,0.9993753287844049,0.9987600095512056
10000,50,26,0.02205038070678711,0.9982597388587365,0.9974152124183675
10000,50,27,0.022712230682373047,0.9849931600118752,0.9855187621504727
10000,50,28,0.02148747444152832,1.0,1.0
10000,50,29,0.021810531616210938,1.0,1.0
10000,50,30,0.02171802520751953,0.9995006506952483,0.9991043895768327
10000,50,31,0.02260756492614746,0.9965404507889075,0.995443894273215
10000,50,32,0.02257680892944336,0.9932844288849524,0.9922355717723462
10000,50,33,0.021950244903564453,0.970273522950116,0.9759988908802739
10000,50,34,0.02223801612854004,0.9783205498719182,0.9809335388563165
10000,50,35,0.02233290672302246,1.0,1.0
10000,50,36,0.021807193756103516,0.9890669468821502,0.9886331511074398
10000,50,37,0.02181863784790039,0.9990030051992059,0.9983823142822542
10000,50,38,0.021695375442504883,0.9872384994872635,0.9871990650059808
10000,50,39,0.022023677825927734,1.0,1.0
10000,50,40,0.022149324417114258,0.9457695922421067,0.9634327805669883
10000,50,41,0.022356271743774414,0.9403504160874402,0.9610013664483263
10000,50,42,0.022538185119628906,0.9689611851953915,0.975242162464506
10000,50,43,0.022046804428100586,0.973360553490531,0.9778284823170091
10000,50,44,0.02310919761657715,0.9782165358221745,0.9808660750333181
10000,50,45,0.022528648376464844,0.9674900766284527,0.9744077719767141
10000,50,46,0.021737337112426758,0.9966625585301646,0.9955754507180977
10000,50,47,0.021656274795532227,0.9948422768178328,0.9937080737933782
10000,50,48,0.02227640151977539,0.980425023858716,0.9823227179470372
10000,50,49,0.021974563598632812,0.9936422998651403,0.9925654835036639
10000,50,50,0.021948575973510742,0.9852156731508995,0.985681699327325
10000,50,51,0.02166914939880371,0.998754822417569,0.9980479137559248
10000,50,52,0.022400856018066406,0.9986308911997037,0.9978856416946393
10000,50,53,0.022192955017089844,0.998383349368594,0.9975695105530458
10000,50,54,0.022072792053222656,0.9350729642458558,0.9587256893798268
10000,50,55,0.02180337905883789,0.9534429211240071,0.9670614947604359
10000,50,56,0.022304534912109375,0.9858859115750553,0.9861770854169876
10000,50,57,0.021781206130981445,0.9913923990092988,0.9905605883326153
